RNK,"PLAYER, TEAM POS",  FG%,  FT%,  3PM,  REB,  AST,  STL,  BLK,  PTS
140,"Joakim Noah, Chi C  DTDRecent News",0.502,0.748,0,10.7,3.2,1,1.8,11.6
141,"J.J. Hickson, Den PF, CBreaking News",0.527,0.675,0,8.9,1,0.6,0.6,11.5
142,"Channing Frye, Pho PF, CRecent News",0.423,0.856,1.8,6.3,1.3,0.6,1.1,11.4
143,"Jason Terry, Bkn SGBreaking News",0.448,0.871,1.6,2,2.9,1,0.1,11.4
144,"Tyson Chandler, NY C",0.648,0.698,0,10.4,0.9,0.7,1.1,11.4
145,"Shawn Marion, Dal SF, PFRecent News",0.499,0.785,0.3,7.3,2.1,1,0.6,11.4
146,"Chase Budinger*, Min SF  O",0.426,0.794,1.5,4.1,1.6,0.7,0.3,11.4
147,"Luigi Datome, Det SF",0.478,0.854,1.2,3.7,1.1,1.1,0.4,11.3
148,"Greivis Vasquez, Sac PGBreaking News",0.43,0.809,0.9,3.5,7.2,0.8,0.1,11.3
149,"Marcus Thornton, Sac SGBreaking News",0.433,0.863,1.1,2.5,1.3,0.8,0.1,11.2
150,"Rodney Stuckey*, Det SG  O",0.417,0.815,0.5,2.6,3.3,0.7,0.2,11.1
151,"Harrison Barnes, GS SF  DTDBreaking News",0.439,0.758,1.1,5.2,1.4,0.7,0.2,11.1
152,"Brandon Roy, FA SG",0.389,0.823,0.7,2.6,3,0.8,0.2,11.1
153,"Luis Scola, Ind PFRecent News",0.483,0.775,0,6.1,2.2,0.7,0.4,11.1
154,"Anderson Varejao, Cle C",0.5,0.685,0,10.7,2.4,1.2,0.6,11.1
155,"Tayshaun Prince, Mem SF  DTD",0.439,0.74,0.5,4.3,2.4,0.5,0.4,11
156,"Luke Ridnour, Mil PG",0.454,0.861,0.8,2.4,4,1,0.2,11
157,"Mo Williams, Por PG, SG",0.423,0.881,1.2,1.9,4,0.8,0.2,11
158,"Richard Hamilton, FA SG",0.433,0.852,0.5,1.9,2.6,0.5,0.1,11
159,"Markieff Morris, Pho PF  DTDBreaking News",0.405,0.725,0.8,6.5,1.7,1.2,1,10.9
160,"Gerald Wallace, Bos SF  DTDBreaking News",0.431,0.706,0.8,6,2.6,1.4,0.7,10.9
161,"Brandon Bass, Bos PF",0.489,0.835,0,5.9,1,0.6,0.9,10.8
162,"Jose Calderon, Dal PGRecent News",0.477,0.89,1.5,2.6,7.6,0.9,0.1,10.8
163,"Andrei Kirilenko, Bkn SF  DTDBreaking News",0.503,0.757,0.5,4.8,2.6,1.2,1,10.8
164,"Reggie Jackson, OKC PGRecent News",0.425,0.832,0.8,4.6,3.9,1,0.3,10.8
165,"Gary Neal, Mil PGRecent News",0.423,0.836,1.6,2.8,2.3,0.6,0,10.7
166,"Ben Gordon, Cha SG  DTDRecent News",0.418,0.852,1.3,1.8,1.9,0.5,0.2,10.6
167,"Kyle Korver, Atl SG",0.452,0.875,2.4,3.6,1.8,0.7,0.4,10.6
168,"Evan Fournier, Den SG",0.492,0.767,1.1,1.8,2.3,1,0.1,10.5
169,"Ray Allen, Mia SGRecent News",0.447,0.896,1.7,2.6,1.8,0.8,0.2,10.4
170,"J.J. Barea, Min PG, SGRecent News",0.416,0.794,1.2,2.5,4,0.4,0,10.4
171,"Shannon Brown, Wsh SGBreaking News",0.421,0.81,0.8,2.5,1.5,0.9,0.2,10.4
172,"Devin Harris*, Dal PG, SG  ORecent News",0.436,0.757,1.1,1.9,4.1,1,0.2,10.4
173,"Jerryd Bayless, Mem PG, SG",0.42,0.832,1,2.5,3.9,0.8,0.2,10.4
174,"Kevin Seraphin, Wsh CRecent News",0.463,0.695,0,7.2,0.8,0.4,1.1,10.3
175,"Carl Landry*, Sac PF  O",0.526,0.801,0,5.2,0.8,0.4,0.3,10.3
176,"Randy Foye, Den SG, PG",0.397,0.836,1.9,1.6,2.1,0.7,0.3,10.3
177,"Corey Maggette, SA SF",0.399,0.817,0.4,2.8,1.2,0.4,0.1,10.3
178,"Robin Lopez, Por CRecent News",0.522,0.761,0,5.3,0.7,0.4,1.4,10.3
179,"John Henson, Mil PFRecent News",0.487,0.538,0,7.4,1,0.6,1.3,10.2
180,"Jared Sullinger, Bos PFBreaking News",0.488,0.747,0,8.5,1.2,0.7,0.7,10.2
181,"Spencer Hawes, Phi CRecent News",0.466,0.744,0.3,6.9,2.1,0.3,1.3,10.1
182,"Metta World Peace, NY SFRecent News",0.401,0.705,1.4,3.9,1.6,1.3,0.5,10.1
183,"Baron Davis, FA PG",0.403,0.742,1.2,2.3,5.8,1.3,0.3,10
184,"Corey Brewer, Min SFRecent News",0.423,0.692,0.8,2.5,1.4,1.3,0.2,10
185,"Jason Thompson, Sac PF, C",0.509,0.658,0,6.5,1.1,0.6,0.7,10
186,"Jordan Farmar, LAL PGBreaking News",0.424,0.85,1.5,2,4.3,0.7,0.1,9.9
187,"Glen Davis*, Orl PF  OBreaking News",0.443,0.712,0,5.8,1.4,0.9,0.5,9.9
188,"Byron Mullens, LAC PF, C",0.395,0.685,0.9,5.8,1.3,0.5,0.7,9.9
189,"Sasha Vujacic, FA SG",0.403,0.84,1.4,2.8,2,0.8,0.1,9.8
190,"Drew Gooden, FA PF",0.42,0.827,0.2,5,1.6,0.6,0.5,9.7
191,"Dorell Wright, Por SF",0.407,0.832,1.2,4,1.9,0.9,0.5,9.6
192,"Martell Webster, Wsh SF, SG  DTDRecent News",0.438,0.83,1.4,3.5,1.5,0.6,0.2,9.6
193,"Andray Blatche, Bkn PF",0.503,0.708,0,4.9,1.1,0.9,0.6,9.6
194,"Marco Belinelli, SA SG",0.406,0.821,1.2,1.9,1.6,0.6,0.1,9.5
195,"C.J. Miles, Cle SF  DTDRecent News",0.405,0.829,1.2,2.6,1.1,0.8,0.3,9.4
196,"Darren Collison, LAC PG  DTDBreaking News",0.462,0.867,0.5,2.2,4,0.9,0.1,9.4
197,"Matt Barnes, LAC SFBreaking News",0.461,0.746,1.1,4.7,1.6,0.9,0.7,9.3
198,"Carlos Delfino*, Mil SF  O",0.403,0.827,1.6,3.2,2.1,1.2,0.1,9.3
199,"Patrick Patterson, Sac PF",0.498,0.75,0.5,4.6,1,0.4,0.6,9.3
200,"C.J. McCollum, Por PG, SG",0.438,0.841,0.9,2.5,3.1,0.8,0.1,9.2
